Results of detector A
particle nr, timestamp, detected, detector angle, spin
1, 1372164357231, true, 0.0, 1
2, 1372164357231, true, 67.5, -1
3, 1372164357231, true, 67.5, 1
4, 1372164357231, true, 0.0, 1
5, 1372164357231, true, 0.0, 1
6, 1372164357231, true, 0.0, 1
7, 1372164357231, true, 67.5, -1
8, 1372164357231, true, 67.5, 1
9, 1372164357231, true, 67.5, -1
10, 1372164357231, true, 67.5, -1
11, 1372164357231, true, 67.5, -1
12, 1372164357231, true, 67.5, -1
13, 1372164357231, true, 67.5, 1
14, 1372164357231, true, 67.5, 1
15, 1372164357231, true, 0.0, 1
16, 1372164357231, true, 67.5, 1
17, 1372164357231, true, 0.0, 1
18, 1372164357231, true, 67.5, -1
19, 1372164357231, true, 67.5, -1
20, 1372164357231, true, 0.0, 1
21, 1372164357231, true, 67.5, -1
22, 1372164357231, true, 67.5, 1
23, 1372164357231, true, 0.0, 1
24, 1372164357231, true, 0.0, 1
25, 1372164357231, true, 0.0, 1
26, 1372164357231, true, 0.0, 1
27, 1372164357231, true, 0.0, 1
28, 1372164357231, true, 67.5, -1
29, 1372164357231, true, 0.0, 1
30, 1372164357231, true, 0.0, 1
31, 1372164357231, true, 67.5, -1
32, 1372164357231, true, 67.5, -1
33, 1372164357231, true, 0.0, 1
34, 1372164357231, true, 67.5, 1
35, 1372164357231, true, 67.5, 1
36, 1372164357231, true, 0.0, 1
37, 1372164357231, true, 67.5, 1
38, 1372164357231, true, 0.0, 1
39, 1372164357231, true, 0.0, 1
40, 1372164357231, true, 67.5, 1
41, 1372164357231, true, 67.5, -1
42, 1372164357231, true, 67.5, 1
43, 1372164357231, true, 0.0, 1
44, 1372164357231, true, 67.5, -1
45, 1372164357231, true, 67.5, -1
46, 1372164357231, true, 67.5, 1
47, 1372164357231, true, 0.0, 1
48, 1372164357231, true, 0.0, 1
49, 1372164357231, true, 0.0, 1
50, 1372164357231, true, 0.0, 1
51, 1372164357231, true, 67.5, -1
52, 1372164357231, true, 67.5, -1
53, 1372164357231, true, 67.5, 1
54, 1372164357231, true, 67.5, 1
55, 1372164357231, true, 0.0, 1
56, 1372164357231, true, 67.5, 1
57, 1372164357231, true, 67.5, -1
58, 1372164357231, true, 67.5, 1
59, 1372164357231, true, 0.0, 1
60, 1372164357231, true, 0.0, 1
61, 1372164357231, true, 67.5, 1
62, 1372164357231, true, 67.5, -1
63, 1372164357231, true, 0.0, 1
64, 1372164357231, true, 67.5, -1
65, 1372164357231, true, 67.5, -1
66, 1372164357231, true, 67.5, 1
67, 1372164357231, true, 0.0, 1
68, 1372164357231, true, 67.5, -1
69, 1372164357231, true, 67.5, 1
70, 1372164357231, true, 67.5, -1
71, 1372164357231, true, 0.0, 1
72, 1372164357231, true, 0.0, 1
73, 1372164357231, true, 67.5, 1
74, 1372164357231, true, 0.0, 1
75, 1372164357231, true, 67.5, -1
76, 1372164357231, true, 67.5, -1
77, 1372164357231, true, 67.5, -1
78, 1372164357231, true, 67.5, -1
79, 1372164357231, true, 0.0, 1
80, 1372164357231, true, 0.0, 1
81, 1372164357231, true, 67.5, -1
82, 1372164357231, true, 67.5, 1
83, 1372164357231, true, 0.0, 1
84, 1372164357231, true, 0.0, 1
85, 1372164357231, true, 67.5, 1
86, 1372164357231, true, 67.5, 1
87, 1372164357231, true, 0.0, 1
88, 1372164357231, true, 67.5, 1
89, 1372164357231, true, 67.5, -1
90, 1372164357231, true, 67.5, -1
91, 1372164357231, true, 67.5, -1
92, 1372164357231, true, 67.5, -1
93, 1372164357231, true, 67.5, 1
94, 1372164357231, true, 0.0, 1
95, 1372164357231, true, 67.5, 1
96, 1372164357231, true, 0.0, 1
97, 1372164357231, true, 0.0, 1
98, 1372164357231, true, 67.5, 1
99, 1372164357231, true, 67.5, 1
100, 1372164357231, true, 0.0, 1
101, 1372164357231, true, 0.0, 1
102, 1372164357231, true, 0.0, 1
103, 1372164357231, true, 67.5, 1
104, 1372164357231, true, 0.0, 1
105, 1372164357231, true, 67.5, 1
106, 1372164357231, true, 0.0, 1
107, 1372164357231, true, 67.5, 1
108, 1372164357231, true, 67.5, 1
109, 1372164357231, true, 67.5, -1
110, 1372164357231, true, 0.0, 1
111, 1372164357231, true, 67.5, 1
112, 1372164357231, true, 0.0, 1
113, 1372164357231, true, 67.5, -1
114, 1372164357231, true, 67.5, 1
115, 1372164357231, true, 0.0, 1
116, 1372164357231, true, 67.5, 1
117, 1372164357231, true, 67.5, 1
118, 1372164357231, true, 0.0, 1
119, 1372164357231, true, 0.0, 1
120, 1372164357231, true, 0.0, 1
121, 1372164357231, true, 0.0, 1
122, 1372164357231, true, 67.5, -1
123, 1372164357231, true, 67.5, -1
124, 1372164357231, true, 0.0, 1
125, 1372164357231, true, 0.0, 1
126, 1372164357231, true, 67.5, 1
127, 1372164357231, true, 0.0, 1
128, 1372164357231, true, 67.5, -1
129, 1372164357231, true, 0.0, 1
130, 1372164357231, true, 0.0, 1
131, 1372164357231, true, 67.5, 1
132, 1372164357231, true, 0.0, 1
133, 1372164357231, true, 0.0, 1
134, 1372164357231, true, 67.5, -1
135, 1372164357231, true, 67.5, 1
136, 1372164357231, true, 0.0, 1
137, 1372164357231, true, 67.5, -1
138, 1372164357231, true, 67.5, 1
139, 1372164357231, true, 0.0, 1
140, 1372164357231, true, 0.0, 1
141, 1372164357231, true, 67.5, 1
142, 1372164357231, true, 0.0, 1
143, 1372164357231, true, 0.0, 1
144, 1372164357231, true, 0.0, 1
145, 1372164357231, true, 0.0, 1
146, 1372164357231, true, 67.5, -1
147, 1372164357231, true, 67.5, -1
148, 1372164357231, true, 67.5, 1
149, 1372164357231, true, 0.0, 1
150, 1372164357231, true, 0.0, 1
151, 1372164357231, true, 67.5, 1
152, 1372164357231, true, 0.0, 1
153, 1372164357231, true, 0.0, 1
154, 1372164357231, true, 67.5, -1
155, 1372164357231, true, 0.0, 1
156, 1372164357231, true, 67.5, -1
157, 1372164357231, true, 0.0, 1
158, 1372164357231, true, 67.5, 1
159, 1372164357231, true, 67.5, 1
160, 1372164357231, true, 67.5, 1
161, 1372164357231, true, 0.0, 1
162, 1372164357231, true, 0.0, 1
163, 1372164357231, true, 67.5, 1
164, 1372164357231, true, 67.5, 1
165, 1372164357231, true, 67.5, -1
166, 1372164357231, true, 0.0, 1
167, 1372164357231, true, 0.0, 1
168, 1372164357231, true, 67.5, 1
169, 1372164357231, true, 0.0, 1
170, 1372164357231, true, 67.5, 1
171, 1372164357231, true, 67.5, 1
172, 1372164357231, true, 0.0, 1
173, 1372164357231, true, 67.5, 1
174, 1372164357231, true, 67.5, 1
175, 1372164357231, true, 67.5, -1
176, 1372164357231, true, 67.5, 1
177, 1372164357231, true, 67.5, -1
178, 1372164357231, true, 0.0, 1
179, 1372164357231, true, 67.5, -1
180, 1372164357231, true, 67.5, 1
181, 1372164357231, true, 67.5, -1
182, 1372164357231, true, 67.5, 1
183, 1372164357231, true, 0.0, 1
184, 1372164357231, true, 67.5, 1
185, 1372164357231, true, 0.0, 1
186, 1372164357231, true, 67.5, 1
187, 1372164357231, true, 67.5, -1
188, 1372164357231, true, 67.5, 1
189, 1372164357231, true, 67.5, 1
190, 1372164357231, true, 0.0, 1
191, 1372164357231, true, 0.0, 1
192, 1372164357231, true, 0.0, 1
193, 1372164357231, true, 67.5, 1
194, 1372164357231, true, 67.5, 1
195, 1372164357231, true, 67.5, 1
196, 1372164357231, true, 67.5, 1
197, 1372164357231, true, 0.0, 1
198, 1372164357231, true, 0.0, 1
199, 1372164357231, true, 67.5, 1
200, 1372164357231, true, 67.5, -1
201, 1372164357231, true, 0.0, 1
202, 1372164357231, true, 67.5, 1
203, 1372164357231, true, 67.5, -1
204, 1372164357231, true, 67.5, 1
205, 1372164357231, true, 67.5, 1
206, 1372164357231, true, 0.0, 1
207, 1372164357231, true, 67.5, 1
208, 1372164357231, true, 0.0, 1
209, 1372164357231, true, 67.5, 1
210, 1372164357231, true, 0.0, 1
211, 1372164357231, true, 67.5, -1
212, 1372164357231, true, 67.5, 1
213, 1372164357231, true, 67.5, 1
214, 1372164357231, true, 0.0, 1
215, 1372164357231, true, 0.0, 1
216, 1372164357231, true, 0.0, 1
217, 1372164357231, true, 0.0, 1
218, 1372164357231, true, 0.0, 1
219, 1372164357231, true, 0.0, 1
220, 1372164357231, true, 0.0, 1
221, 1372164357231, true, 0.0, 1
222, 1372164357231, true, 67.5, 1
223, 1372164357231, true, 67.5, 1
224, 1372164357231, true, 67.5, -1
225, 1372164357231, true, 67.5, 1
226, 1372164357231, true, 0.0, 1
227, 1372164357231, true, 0.0, 1
228, 1372164357231, true, 67.5, 1
229, 1372164357231, true, 67.5, -1
230, 1372164357231, true, 67.5, -1
231, 1372164357231, true, 0.0, 1
232, 1372164357231, true, 67.5, -1
233, 1372164357231, true, 67.5, -1
234, 1372164357231, true, 67.5, 1
235, 1372164357231, true, 67.5, 1
236, 1372164357231, true, 0.0, 1
237, 1372164357231, true, 0.0, 1
238, 1372164357231, true, 0.0, 1
239, 1372164357231, true, 0.0, 1
240, 1372164357231, true, 67.5, 1
241, 1372164357231, true, 0.0, 1
242, 1372164357231, true, 67.5, 1
243, 1372164357231, true, 0.0, 1
244, 1372164357231, true, 67.5, 1
245, 1372164357231, true, 0.0, 1
246, 1372164357231, true, 0.0, 1
247, 1372164357231, true, 0.0, 1
248, 1372164357231, true, 67.5, 1
249, 1372164357231, true, 0.0, 1
250, 1372164357231, true, 67.5, 1
251, 1372164357231, true, 67.5, -1
252, 1372164357231, true, 0.0, 1
253, 1372164357231, true, 67.5, 1
254, 1372164357231, true, 0.0, 1
255, 1372164357231, true, 0.0, 1
256, 1372164357231, true, 67.5, -1
257, 1372164357231, true, 67.5, 1
258, 1372164357231, true, 0.0, 1
259, 1372164357231, true, 0.0, 1
260, 1372164357231, true, 67.5, -1
261, 1372164357231, true, 0.0, 1
262, 1372164357231, true, 0.0, 1
263, 1372164357231, true, 67.5, -1
264, 1372164357231, true, 0.0, 1
265, 1372164357231, true, 67.5, -1
266, 1372164357231, true, 0.0, 1
267, 1372164357231, true, 67.5, 1
268, 1372164357231, true, 67.5, -1
269, 1372164357231, true, 67.5, 1
270, 1372164357231, true, 67.5, -1
271, 1372164357231, true, 0.0, 1
272, 1372164357231, true, 67.5, -1
273, 1372164357231, true, 67.5, -1
274, 1372164357231, true, 0.0, 1
275, 1372164357231, true, 0.0, 1
276, 1372164357231, true, 67.5, -1
277, 1372164357231, true, 67.5, -1
278, 1372164357231, true, 67.5, -1
279, 1372164357231, true, 0.0, 1
280, 1372164357231, true, 67.5, 1
281, 1372164357231, true, 0.0, 1
282, 1372164357231, true, 0.0, 1
283, 1372164357231, true, 0.0, 1
284, 1372164357231, true, 67.5, -1
285, 1372164357231, true, 0.0, 1
286, 1372164357231, true, 0.0, 1
287, 1372164357231, true, 0.0, 1
288, 1372164357231, true, 67.5, 1
289, 1372164357231, true, 67.5, -1
290, 1372164357231, true, 0.0, 1
291, 1372164357231, true, 0.0, 1
292, 1372164357231, true, 0.0, 1
293, 1372164357231, true, 0.0, 1
294, 1372164357231, true, 0.0, 1
295, 1372164357231, true, 67.5, 1
296, 1372164357231, true, 67.5, -1
297, 1372164357231, true, 0.0, 1
298, 1372164357231, true, 0.0, 1
299, 1372164357231, true, 67.5, 1
300, 1372164357231, true, 67.5, 1
301, 1372164357231, true, 67.5, 1
302, 1372164357231, true, 67.5, 1
303, 1372164357231, true, 67.5, 1
304, 1372164357231, true, 67.5, -1
305, 1372164357231, true, 67.5, 1
306, 1372164357231, true, 67.5, 1
307, 1372164357231, true, 0.0, 1
308, 1372164357231, true, 0.0, 1
309, 1372164357231, true, 67.5, -1
310, 1372164357231, true, 67.5, 1
311, 1372164357231, true, 0.0, 1
312, 1372164357231, true, 0.0, 1
313, 1372164357231, true, 0.0, 1
314, 1372164357231, true, 67.5, -1
315, 1372164357231, true, 0.0, 1
316, 1372164357231, true, 0.0, 1
317, 1372164357231, true, 67.5, 1
318, 1372164357231, true, 67.5, 1
319, 1372164357231, true, 67.5, 1
320, 1372164357231, true, 67.5, 1
321, 1372164357231, true, 67.5, 1
322, 1372164357231, true, 0.0, 1
323, 1372164357231, true, 67.5, 1
324, 1372164357231, true, 0.0, 1
325, 1372164357231, true, 67.5, 1
326, 1372164357231, true, 67.5, -1
327, 1372164357231, true, 67.5, 1
328, 1372164357231, true, 0.0, 1
329, 1372164357231, true, 0.0, 1
330, 1372164357231, true, 0.0, 1
331, 1372164357231, true, 0.0, 1
332, 1372164357231, true, 67.5, 1
333, 1372164357231, true, 0.0, 1
334, 1372164357231, true, 0.0, 1
