
Raw product moment correlation

AngleAB (deg), Rab, eq, neq, total count
0.0, 1.000,  200.0,  0.0,  200.0
22.5, 0.729,  166.0,  26.0,  192.0
45.0, 0.558,  148.0,  42.0,  190.0
67.5, 0.138,  124.0,  94.0,  218.0
 
