Results of detector B
particle nr, timestamp, detected, detector angle, spin
146, 1372532967666, true, 180.0, -1
147, 1372532967666, true, 112.5, -1
148, 1372532967666, true, 90.0, -1
149, 1372532967666, true, 157.5, -1
150, 1372532967666, true, 270.0, -1
151, 1372532967666, true, 180.0, -1
152, 1372532967666, true, 22.5, 1
153, 1372532967666, true, 112.5, -1
154, 1372532967666, true, 270.0, -1
155, 1372532967666, true, 157.5, -1
156, 1372532967666, true, 0.0, 1
157, 1372532967666, true, 135.0, -1
158, 1372532967666, true, 112.5, 1
159, 1372532967666, true, 90.0, -1
160, 1372532967666, true, 180.0, -1
161, 1372532967666, true, 135.0, -1
162, 1372532967666, true, 22.5, 1
163, 1372532967666, true, 45.0, -1
164, 1372532967666, true, 247.5, 1
165, 1372532967666, true, 45.0, -1
166, 1372532967666, true, 337.5, -1
167, 1372532967666, true, 135.0, 1
168, 1372532967666, true, 270.0, -1
169, 1372532967666, true, 112.5, 1
170, 1372532967666, true, 337.5, 1
171, 1372532967666, true, 315.0, 1
172, 1372532967666, true, 112.5, -1
173, 1372532967666, true, 270.0, -1
174, 1372532967666, true, 90.0, 1
175, 1372532967666, true, 270.0, -1
176, 1372532967666, true, 247.5, 1
177, 1372532967666, true, 225.0, 1
178, 1372532967666, true, 315.0, 1
179, 1372532967666, true, 22.5, 1
180, 1372532967666, true, 180.0, -1
181, 1372532967666, true, 315.0, 1
182, 1372532967666, true, 22.5, 1
183, 1372532967666, true, 0.0, 1
184, 1372532967666, true, 0.0, 1
185, 1372532967666, true, 202.5, 1
186, 1372532967666, true, 337.5, 1
187, 1372532967666, true, 247.5, 1
188, 1372532967666, true, 157.5, 1
189, 1372532967666, true, 157.5, -1
190, 1372532967666, true, 22.5, 1
191, 1372532967666, true, 0.0, 1
192, 1372532967666, true, 202.5, 1
193, 1372532967666, true, 337.5, 1
194, 1372532967666, true, 337.5, 1
195, 1372532967666, true, 270.0, 1
196, 1372532967666, true, 337.5, 1
197, 1372532967666, true, 112.5, -1
198, 1372532967666, true, 180.0, -1
199, 1372532967666, true, 67.5, 1
200, 1372532967666, true, 157.5, 1
201, 1372532967666, true, 90.0, 1
202, 1372532967666, true, 45.0, 1
203, 1372532967666, true, 112.5, -1
204, 1372532967666, true, 0.0, 1
205, 1372532967666, true, 247.5, 1
206, 1372532967666, true, 157.5, -1
207, 1372532967666, true, 292.5, 1
208, 1372532967666, true, 292.5, 1
209, 1372532967666, true, 270.0, -1
210, 1372532967666, true, 135.0, -1
211, 1372532967666, true, 315.0, 1
212, 1372532967666, true, 292.5, 1
213, 1372532967666, true, 67.5, -1
214, 1372532967666, true, 180.0, -1
215, 1372532967666, true, 292.5, 1
216, 1372532967666, true, 247.5, -1
217, 1372532967666, true, 45.0, 1
218, 1372532967666, true, 45.0, 1
219, 1372532967666, true, 22.5, 1
220, 1372532967666, true, 45.0, -1
221, 1372532967666, true, 90.0, 1
222, 1372532967666, true, 0.0, 1
223, 1372532967666, true, 135.0, -1
224, 1372532967666, true, 180.0, -1
225, 1372532967666, true, 135.0, -1
226, 1372532967666, true, 337.5, 1
227, 1372532967666, true, 45.0, 1
228, 1372532967666, true, 292.5, -1
229, 1372532967666, true, 157.5, -1
230, 1372532967666, true, 292.5, 1
231, 1372532967666, true, 315.0, 1
232, 1372532967666, true, 0.0, 1
233, 1372532967666, true, 112.5, 1
234, 1372532967666, true, 247.5, 1
235, 1372532967666, true, 315.0, -1
236, 1372532967666, true, 270.0, 1
237, 1372532967666, true, 135.0, -1
238, 1372532967666, true, 0.0, 1
239, 1372532967666, true, 247.5, 1
240, 1372532967666, true, 292.5, -1
241, 1372532967666, true, 315.0, -1
242, 1372532967666, true, 135.0, -1
243, 1372532967666, true, 180.0, -1
244, 1372532967666, true, 90.0, 1
245, 1372532967666, true, 135.0, -1
246, 1372532967666, true, 247.5, 1
247, 1372532967666, true, 247.5, 1
248, 1372532967666, true, 135.0, 1
249, 1372532967666, true, 270.0, -1
250, 1372532967666, true, 90.0, 1
251, 1372532967666, true, 292.5, -1
252, 1372532967666, true, 90.0, 1
253, 1372532967666, true, 112.5, -1
254, 1372532967666, true, 180.0, -1
255, 1372532967666, true, 247.5, -1
256, 1372532967666, true, 22.5, 1
257, 1372532967666, true, 22.5, 1
258, 1372532967666, true, 157.5, -1
259, 1372532967666, true, 0.0, 1
260, 1372532967666, true, 45.0, 1
261, 1372532967666, true, 45.0, 1
262, 1372532967666, true, 135.0, -1
263, 1372532967666, true, 180.0, -1
264, 1372532967666, true, 135.0, -1
265, 1372532967666, true, 292.5, -1
266, 1372532967666, true, 67.5, 1
267, 1372532967666, true, 292.5, 1
268, 1372532967666, true, 135.0, -1
269, 1372532967666, true, 337.5, 1
270, 1372532967666, true, 247.5, -1
271, 1372532967666, true, 180.0, -1
272, 1372532967666, true, 0.0, 1
273, 1372532967666, true, 337.5, 1
274, 1372532967666, true, 45.0, -1
275, 1372532967666, true, 202.5, -1
276, 1372532967666, true, 292.5, -1
277, 1372532967666, true, 67.5, -1
278, 1372532967666, true, 90.0, 1
279, 1372532967666, true, 0.0, 1
280, 1372532967666, true, 180.0, -1
281, 1372532967666, true, 157.5, -1
282, 1372532967666, true, 180.0, -1
283, 1372532967666, true, 90.0, -1
284, 1372532967666, true, 292.5, 1
285, 1372532967666, true, 315.0, -1
286, 1372532967666, true, 112.5, -1
287, 1372532967666, true, 22.5, 1
288, 1372532967666, true, 67.5, -1
289, 1372532967666, true, 112.5, -1
290, 1372532967666, true, 270.0, 1
291, 1372532967666, true, 45.0, -1
292, 1372532967666, true, 292.5, -1
293, 1372532967666, true, 157.5, 1
294, 1372532967666, true, 315.0, -1
295, 1372532967666, true, 135.0, 1
296, 1372532967666, true, 315.0, -1
297, 1372532967666, true, 202.5, -1
298, 1372532967666, true, 135.0, -1
299, 1372532967666, true, 202.5, -1
300, 1372532967666, true, 337.5, 1
301, 1372532967666, true, 202.5, -1
302, 1372532967666, true, 112.5, -1
303, 1372532967666, true, 315.0, -1
